obs,Curve,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
13,c2,1499738098,955.5999999,20170711 09:54:57,1499738097,0.004362356,29.53991691,1093.582284,109.2681511,145.561004,0.159810509,2.261349998,0.153790862,0.096641238,247.8417734,33.86102332,33.8306,5.292730029,49.60770225,2.570031346,5.180710311,2.722698683,-0.041490006,0.046576166,3.475533206,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.49978,29.53991691,#DIV/0!,#DIV/0!,0.024151777,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500,1264.49978,0.842999853,0.195999855,1499738097,1456.81,1499.88,25.7215,20.6218,500.047,99.8176,0.100031,33.4481,33.8306,999.9,10023.8,0,1007.5,1500,0.900002,0.0999979,0,818.926,5.00027,12384.2,46.812,48.625,47.562,48.5,49.062,819.4087692,-6.981538484,-107.3982906,12396.55385,15,2,430.996,856.371,30,35.5736,30.0001,35.4478,35.3966,69.4544,44.6905,0,30,1500,20.7125,97.7641,99.1384,0.07,23.846,100,100
1,c3,1499738382,0,20170711 09:59:41,1499738381,0.004390523,12.17630718,242.9609879,24.27544254,38.30070949,0.159639024,2.259014834,0.15362607,0.096537664,247.8180626,33.76241004,33.8786,5.306935073,49.7385592,2.563908341,5.154770026,2.743026731,-0.041426881,0.046505303,3.471350726,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.374,12.17630718,#DIV/0!,#DIV/0!,0.01042121,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.85,1264.374,0.8430003,0.1960006,1499738381,383.333,399.968,25.6609,20.5263,499.886,99.8151,0.0998812,33.3585,33.8786,999.9,10008.8,0,729.825,1499.85,0.89999,0.10001,0,1175.24,5.00027,17661.4,46.937,48.625,47.625,48.687,49.125,1199.023846,-198.7842735,-2923.025641,18014.11154,15,2,496.897,850.61,30,35.6647,30.0003,35.5373,35.4889,23.6007,45.4771,0,30,400,20.6385,97.7474,99.1254,0.02,14.253,100,100
2,c3,1499738451,69,20170711 10:00:50,1499738450,0.004043313,6.945389936,199.6752836,19.95024993,28.99358936,0.144541574,2.258990256,0.139593143,0.087676198,247.8646237,33.86118581,33.9979,5.342384222,49.76238338,2.562880352,5.150236339,2.77950387,-0.041426217,0.046504557,3.471306716,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.61775,6.945389936,#DIV/0!,#DIV/0!,0.006282839,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.14,1264.61775,0.84299982,0.19599964,1499738450,290.187,299.929,25.651,20.9237,500.023,99.8135,0.0999674,33.3428,33.9979,999.9,10008.8,0,701.135,1500.14,0.900006,0.099994,0,1024.55,5.00027,15452.8,47,48.687,47.75,48.75,49.187,1034.790385,-84.98290598,-1236.406838,15600.86538,15,2,497.191,850.074,29.9999,35.6943,30.0004,35.5715,35.526,18.5966,44.6333,0,30,300,20.9901,97.7344,99.1137,0.02,14.253,100,100
3,c3,1499738523,141,20170711 10:02:02,1499738522,0.003836083,1.715870525,167.6249982,16.74793773,19.68298593,0.135294123,2.255527349,0.130941933,0.082218072,247.8563623,33.92015798,34.1007,5.373095499,49.77818793,2.562272142,5.147379301,2.810823357,-0.041332717,0.046399596,3.465107591,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.5756,1.715870525,#DIV/0!,#DIV/0!,0.002147654,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.09,1264.5756,0.84299982,0.19599964,1499738522,197.001,199.967,25.645,21.1596,499.983,99.8131,0.100027,33.3329,34.1007,999.9,9986.25,0,727.458,1500.09,0.900006,0.099994,0,946.816,5.00027,14306.5,47,48.625,47.75,48.75,49.187,951.8016154,-41.13811966,-586.3794872,14377.18462,15,2,497.202,849.54,29.9992,35.7296,30.0002,35.6026,35.5552,13.3625,44.3497,0,30,200,21.288,97.7278,99.1046,0.02,14.253,100,100
4,c3,1499738596,213.9000001,20170711 10:03:15,1499738595,0.003534438,-3.094290775,139.0388486,13.89182204,10.30675024,0.121934961,2.26128391,0.118396441,0.074307144,247.8348395,34.12972389,34.2853,5.428629843,49.52463514,2.565282464,5.179810931,2.863347378,-0.041488218,0.04657416,3.475414812,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.458435,-3.094290775,#DIV/0!,#DIV/0!,-0.001656275,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.95,1264.458435,0.84300039,0.19600078,1499738595,103.157,99.881,25.6751,21.5422,499.943,99.8133,0.0999414,33.445,34.2853,999.9,10023.8,0,757.905,1499.95,0.899987,0.100013,0,906.728,5.00027,13707.6,47.125,48.687,47.812,48.812,49.25,909.1876538,-20.82184617,-300.1333333,13744.91923,15,2,497.206,849.076,30.0021,35.7602,30.0004,35.6328,35.5877,7.92235,43.6335,0,30,100,21.58,97.7247,99.101,0.02,14.253,100,100
5,c3,1499738665,283.4000001,20170711 10:04:25,1499738665,0.003481744,-5.121683708,121.7959565,12.16907284,5.579835021,0.119686168,2.263002017,0.116277508,0.072971611,247.8265781,34.19984634,34.3848,5.458769509,49.80407994,2.58748256,5.195322477,2.87128695,-0.0415347,0.046626339,3.478493171,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.416285,-5.121683708,#DIV/0!,#DIV/0!,-0.003259752,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.9,1264.416285,0.84300039,0.19600078,1499738665,55.8466,49.9339,25.8972,21.8273,499.999,99.8136,0.100003,33.4984,34.3848,999.9,10035,0,794.796,1499.9,0.899987,0.100013,0,890.171,5.00027,13459.9,47.187,48.812,47.875,48.875,49.375,891.4304615,-8.625641015,-137.0153846,13477.67308,15,2,497.194,848.153,30.0002,35.8127,30.0004,35.6812,35.6352,5.18236,43.646,0,30,50,21.6898,97.7088,99.0903,0.02,14.253,100,100
6,c3,1499738731,349,20170711 10:05:30,1499738730,0.003511716,-6.196442884,108.8341393,10.87419143,2.732482558,0.11992389,2.257284746,0.116493484,0.073108463,247.8450527,34.23821064,34.4731,5.485638305,49.82812838,2.595478752,5.208862617,2.890159554,-0.041380151,0.046452845,3.468253117,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.517027,-6.196442884,#DIV/0!,#DIV/0!,-0.004109429,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.02,1264.517027,0.843000111,0.195999775,1499738730,27.348,20.0275,25.9768,21.8722,499.999,99.8152,0.100061,33.5449,34.4731,999.9,9997.5,0,815.443,1500.02,0.900005,0.0999953,0,884.024,5.00027,13363.9,47.312,48.937,48,49.062,49.437,884.6845385,-3.55343588,-46.3247863,13369.06923,15,2,497.23,847.465,30.0016,35.8678,30.0005,35.732,35.6848,3.55431,43.3601,0,30,20,21.8268,97.7006,99.0816,0.02,14.253,100,100
7,c3,1499738809,427.4000001,20170711 10:06:49,1499738809,0.00345508,10.56335627,224.2899649,22.41011306,38.535329,0.118030261,2.257861085,0.114706539,0.071982414,247.8400958,34.28031771,34.4634,5.482681083,49.74837519,2.594763576,5.215775522,2.887917507,-0.041395714,0.046470316,3.469284908,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.491736,10.56335627,#DIV/0!,#DIV/0!,0.009144667,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.99,1264.491736,0.843000111,0.195999775,1499738809,385.678,399.953,25.9695,21.9311,500.003,99.8158,0.100008,33.5686,34.4634,999.9,10001.2,0,806.432,1499.99,0.900005,0.0999953,0,884.461,5.00027,13408.8,47.437,49.062,48.062,49.25,49.625,886.0576154,-16.16252992,-227.8905983,13432.89231,15,2,497.174,847.565,30.0009,35.9496,30.0004,35.7974,35.7457,23.6749,43.0842,0,30,400,22.0204,97.6847,99.0701,0.02,14.253,100,100
8,c3,1499738870,487.9000001,20170711 10:07:49,1499738869,0.003431823,10.42503812,223.8349017,22.3655097,38.55830152,0.116020344,2.256778906,0.112805703,0.070784968,247.8500095,34.36090322,34.5785,5.517860929,49.67668092,2.601568501,5.237001452,2.916292428,-0.041366495,0.046437514,3.467347624,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.542317,10.42503812,#DIV/0!,#DIV/0!,0.00903492,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.05,1264.542317,0.843000111,0.195999775,1499738869,385.893,399.992,26.0366,22.0257,500.008,99.8197,0.0999708,33.6412,34.5785,999.9,9993.75,0,793.29,1500.05,0.900005,0.0999953,0,888.38,5.00027,13470,47.437,49.125,48.062,49.375,49.687,886.8566154,11.2283077,166.3829061,13449.07308,15,2,496.919,847.32,30.0012,35.9908,30.0003,35.8326,35.7789,23.6787,42.8017,0,30,400,22.1634,97.6826,99.0665,0.02,14.253,100,100
9,c3,1499738945,563.4000001,20170711 10:09:05,1499738945,0.003312858,18.67630355,279.66,27.94385848,57.48105446,0.111295148,2.260235738,0.108337823,0.067970298,247.8183167,34.46279499,34.6543,5.541135914,49.66493018,2.610291716,5.255804663,2.930844198,-0.041459877,0.046542344,3.473537253,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.374135,18.67630355,#DIV/0!,#DIV/0!,0.01556209,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.85,1264.374135,0.84300039,0.19600078,1499738945,575.266,599.964,26.1236,22.2521,500.01,99.8208,0.100027,33.7053,34.6543,999.9,10016.2,0,803.053,1499.85,0.899987,0.100013,0,934.801,5.00027,14169.9,47.437,49.125,48.062,49.312,49.625,933.6909231,10.08711111,146.6290599,14153.88077,15,2,497.113,847.403,30.0023,36.0346,30.0004,35.8759,35.8228,33.131,42.5306,0,30,600,22.3122,97.6774,99.0635,0.02,14.253,100,100
10,c3,1499739027,645,20170711 10:10:26,1499739026,0.003172321,25.68291399,342.9654694,34.26945679,76.56547466,0.106041099,2.2586152,0.103350896,0.064830329,247.8566186,34.54672932,34.7373,5.56671956,49.84928086,2.625404606,5.266685017,2.941314954,-0.041416084,0.046493182,3.470635124,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.576037,25.68291399,#DIV/0!,#DIV/0!,0.021100284,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.09,1264.576037,0.843000111,0.195999775,1499739026,766.26,799.995,26.2748,22.5682,500.022,99.821,0.100012,33.7423,34.7373,999.9,10005.6,0,787.825,1500.09,0.900005,0.0999953,0,991.655,5.00027,15026.3,47.562,49.25,48.25,49.375,49.75,991.1575,0.513743603,4.608547047,15024.97692,15,2,496.978,847.588,29.9999,36.1145,30.0006,35.9533,35.9022,41.9958,41.9759,0,30,800,22.5949,97.6561,99.0462,0.02,14.253,100,100
11,c3,1499739117,735.4000001,20170711 10:11:57,1499739117,0.003011216,31.01207869,424.8501589,42.45083402,95.84542423,0.101203443,2.257919437,0.098749303,0.061933853,247.8397964,34.51604897,34.6529,5.540705261,49.94594788,2.618201796,5.242070491,2.922503465,-0.04139729,0.046472085,3.46938938,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.483725,31.01207869,#DIV/0!,#DIV/0!,0.025316323,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.98,1264.483725,0.84300039,0.19600078,1499739117,959.226,999.915,26.2031,22.6836,499.897,99.8196,0.0999437,33.6585,34.6529,999.9,10001.2,0,776.39,1499.98,0.899987,0.100013,0,1032.57,5.00027,15661.8,47.562,49.25,48.25,49.375,49.75,1033.746538,-10.45367521,-172.2871793,15682.46923,15,2,496.607,847.664,29.9988,36.177,30.0001,36.0185,35.9635,50.3853,41.6728,0,30,1000,22.8026,97.6448,99.0328,0.02,14.253,100,100
12,c3,1499739199,817,20170711 10:13:18,1499739198,0.002838802,35.15401379,511.1647883,51.07364373,115.2953027,0.095262483,2.258449547,0.093085177,0.058369713,247.8348395,34.59237689,34.6985,5.554747224,50.16213814,2.632462173,5.247906629,2.922285052,-0.041411609,0.046488159,3.470338513,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.458435,35.15401379,#DIV/0!,#DIV/0!,0.028592489,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.95,1264.458435,0.84300039,0.19600078,1499739198,1153.92,1200.03,26.3467,23.0303,500.062,99.8162,0.100001,33.6784,34.6985,999.9,10005,0,795.793,1499.95,0.899987,0.100013,0,1050.15,5.00027,15952.1,47.562,49.187,48.312,49.25,49.75,1053.008846,-20.43384615,-311.7777778,15990.10385,15,2,496.902,847.687,30.0002,36.1868,30.0001,36.0415,35.9873,58.3978,41.1048,0,30,1200,22.9493,97.6451,99.0344,0.02,14.253,100,100
13,c3,1499739265,883.4000001,20170711 10:14:25,1499739265,0.002769761,38.79088637,709.8553398,70.92561459,144.7317277,0.092250827,2.259589243,0.090208427,0.056560002,247.8381441,34.62515411,34.7351,5.566040117,49.97084521,2.623963223,5.250988276,2.942076894,-0.041442403,0.046522728,3.472379381,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.475295,38.79088637,#DIV/0!,#DIV/0!,0.031468299,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.97,1264.475295,0.84300039,0.19600078,1499739265,1448.54,1499.9,26.2618,23.0256,500.035,99.8156,0.0999893,33.6889,34.7351,999.9,10012.5,0,790.508,1499.97,0.899987,0.100013,0,1048.06,5.00027,15945.2,47.562,49.25,48.312,49.25,49.75,1050.677692,-8.343247857,-148.2598289,15981.56923,15,2,496.897,848.677,29.9994,36.2003,30.0001,36.0614,36.0099,69.7765,41.3866,0,30,1500,23.0289,97.6422,99.0308,0.02,14.253,100,100
1,c4,1499739678,0,20170711 10:21:17,1499739677,0.007267387,10.34026537,310.8663492,31.05759255,38.38590482,0.29817126,2.260017554,0.277914045,0.17540149,247.8173027,32.98857654,33.2086,5.111624754,49.95528939,2.599918781,5.20449148,2.511705973,-0.041453979,0.046535723,3.473146471,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.373896,10.34026537,#DIV/0!,#DIV/0!,0.008969076,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.85,1264.373896,0.843000231,0.196000015,1499739677,384.218,399.977,26.0235,17.5296,500.001,99.8066,0.099976,33.5299,33.2086,999.9,10016.2,0,981.383,1499.85,0.900001,0.0999993,0,935.925,5.00027,13968.6,47.562,49.312,48.312,49.25,49.75,938.6736538,-21.94027351,-328.3760683,14010.09231,15,2,428.421,834.066,29.9991,36.4777,30.0002,36.3397,36.2797,23.6402,59.5871,0,30,400,17.5428,97.583,98.9828,-0.061,14.38,100,100
2,c4,1499739750,72,20170711 10:22:29,1499739749,0.006939942,6.308144618,240.9745997,24.07546882,28.97123693,0.281846572,2.259484774,0.263670301,0.166329226,247.83713,33.06247847,33.2442,5.121842847,49.93049635,2.59373082,5.194682627,2.528112027,-0.04143958,0.046519558,3.47219229,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.475056,6.308144618,#DIV/0!,#DIV/0!,0.005779588,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.97,1264.475056,0.843000231,0.196000015,1499739749,289.977,299.963,25.961,17.8482,499.934,99.8088,0.0999408,33.4962,33.2442,999.9,10012.5,0,1082.46,1499.97,0.900001,0.0999993,0,903.873,5.00027,13489.3,47.437,49.187,48.187,49.062,49.687,904.6908462,-8.145504272,-121.4188035,13506.08077,15,2,428.78,834.151,29.9995,36.4701,29.9999,36.3431,36.2842,18.6349,58.1518,0,30,300,17.9487,97.5877,98.9872,-0.061,14.38,100,100
3,c4,1499739822,144,20170711 10:23:41,1499739821,0.006555959,1.631260487,178.0565864,17.78960683,19.62888859,0.262133166,2.259117235,0.24633175,0.1552976,247.8288686,33.19213562,33.3456,5.151044641,49.94656327,2.595088417,5.19572969,2.555956224,-0.041429648,0.046508409,3.4715341,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.432906,1.631260487,#DIV/0!,#DIV/0!,0.002080981,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.92,1264.432906,0.843000231,0.196000015,1499739821,196.466,199.969,25.9743,18.3118,500.02,99.8098,0.10005,33.4998,33.3456,999.9,10010,0,1127.99,1499.92,0.900001,0.0999993,0,838.785,5.00027,12547.2,47.312,49.062,48.062,48.937,49.5,842.5031923,-29.31579487,-426.8205129,12599.59615,15,2,429.058,834.206,29.9997,36.4369,29.9998,36.3229,36.2683,13.3974,56.4612,0,30,200,18.3722,97.5971,98.9941,-0.061,14.38,100,100
4,c4,1499739896,218,20170711 10:24:55,1499739895,0.006230459,-3.293927144,121.0975904,12.09908484,10.30900507,0.243595449,2.260680761,0.229896107,0.144851658,247.8586075,33.35275545,33.5235,5.202627433,49.90422412,2.600635637,5.211253522,2.601991796,-0.041471909,0.04655585,3.474334366,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.584345,-3.293927144,#DIV/0!,#DIV/0!,-0.001813977,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.1,1264.584345,0.84300003,0.19600006,1499739895,103.181,99.9997,26.0293,18.7473,499.996,99.8119,0.0999546,33.5531,33.5235,999.9,10020,0,1069.31,1500.1,0.899999,0.100001,0,747.475,5.00027,11224.5,47.312,49,48.062,48.937,49.5,752.2812692,-38.06082054,-552.0034192,11290.92692,15,2,429.268,834.092,30.0005,36.4131,30,36.3086,36.2597,7.95318,55.6235,0,30,100,18.6971,97.5996,99.0026,-0.061,14.38,100,100
5,c4,1499739966,288,20170711 10:26:05,1499739965,0.00590354,-5.531782542,93.74215981,9.365909713,5.618247391,0.227452398,2.255501258,0.21543464,0.13567346,247.832171,33.44782028,33.6264,5.232668316,49.96659226,2.602152251,5.207784107,2.630516066,-0.041332013,0.046398806,3.465060899,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.449465,-5.531782542,#DIV/0!,#DIV/0!,-0.003583997,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.94,1264.449465,0.84300003,0.19600006,1499739965,56.2323,49.9922,26.0446,19.1445,499.974,99.8114,0.0999924,33.5412,33.6264,999.9,9986.25,0,913.851,1499.94,0.899999,0.100001,0,700.492,5.00027,10533.7,47.375,49.062,48.062,49.062,49.562,703.0852308,-24.37928204,-348.8410256,10576.58462,15,2,429.657,833.43,30.0012,36.4241,30.0004,36.3195,36.2731,5.21368,55.3208,0,30,50,19.0372,97.5982,98.9976,-0.061,14.38,100,100
6,c4,1499740031,353,20170711 10:27:10,1499740030,0.005727933,-6.707108636,77.35952501,7.729042014,2.783840985,0.216496836,2.254339755,0.205573737,0.129419041,247.8239096,33.55043155,33.744,5.267185395,49.66325986,2.592861739,5.220885109,2.674323656,-0.041300682,0.046363634,3.462982501,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.407315,-6.707108636,#DIV/0!,#DIV/0!,-0.004513663,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.89,1264.407315,0.84300003,0.19600006,1499740030,27.8633,20.0061,25.9518,19.2565,499.988,99.8107,0.0999705,33.5861,33.744,999.9,9978.75,0,1069.04,1499.89,0.899999,0.100001,0,678.107,5.00027,10212.5,47.5,49.187,48.187,49.187,49.687,679.8686154,-14.45613675,-206.4957266,10238.28462,15,2,430.143,832.647,29.9996,36.4639,30.0005,36.3514,36.3054,3.58662,54.7317,0,30,20,19.4193,97.5854,98.9862,-0.061,14.38,100,100
7,c4,1499740114,436,20170711 10:28:33,1499740113,0.005578755,10.04420068,290.2570316,29.0003524,38.50544034,0.209414162,2.265860179,0.199225248,0.125389892,247.8785196,33.62258709,33.7947,5.282127465,49.63409346,2.594631894,5.227519458,2.687495572,-0.041612096,0.046713223,3.483616285,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.68555,10.04420068,#DIV/0!,#DIV/0!,0.008732764,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.22,1264.68555,0.84300006,0.19600012,1499740113,385.391,400.021,25.969,19.4497,500.104,99.8126,0.100061,33.6088,33.7947,999.9,10053.8,0,1191.77,1500.22,0.899998,0.100002,0,728.601,5.00027,10993.9,47.5,49.25,48.187,49.25,49.687,730.223,-11.95302564,-174.9777778,11016.61154,15,2,430.055,833.125,30.0022,36.504,30.0002,36.3836,36.3301,23.6915,54.7323,0,30,400,19.5976,97.5777,98.9788,-0.061,14.38,100,100
8,c4,1499740174,496.4000001,20170711 10:29:34,1499740174,0.005060164,9.760462171,283.5444858,28.32948277,38.55212532,0.186118924,2.257801195,0.177996133,0.11194784,247.843737,33.84135258,33.93,5.322183057,49.49452274,2.594363676,5.241718744,2.727819382,-0.041394097,0.0464685,3.469177686,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.508475,9.760462171,#DIV/0!,#DIV/0!,0.008509601,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.508475,0.84300003,0.19600006,1499740174,385.861,399.917,25.9665,20.0518,499.985,99.8119,0.100051,33.6573,33.93,999.9,10001.2,0,1171.26,1500.01,0.899999,0.100001,0,725.352,5.00027,10940.7,47.5,49.25,48.187,49.312,49.687,724.2494231,7.8500171,96.11623927,10926.57692,15,2,429.771,833.5,29.9988,36.5186,29.9999,36.3904,36.3368,23.7038,52.0551,0,30,400,20.2372,97.5806,98.9819,-0.061,14.38,100,100
9,c4,1499740260,582,20170711 10:30:59,1499740259,0.004539779,15.59327318,399.0008184,39.86463342,57.76273622,0.16458817,2.256071834,0.158196646,0.099426476,247.8186965,33.99578851,34.04,5.354943,49.6857529,2.601956288,5.236825723,2.752986711,-0.04134741,0.04641609,3.466082047,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.381589,15.59327318,#DIV/0!,#DIV/0!,0.013123628,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.86,1264.381589,0.842999739,0.195999925,1499740259,578.141,600.001,26.0427,20.7372,500.034,99.8111,0.100057,33.6406,34.04,999.9,9990,0,1144.44,1499.86,0.9,0.0999997,0,740.368,5.00027,11168.9,47.312,49.187,48.062,49.125,49.562,740.6916923,-3.256820512,-26.97777771,11169.72692,15,2,429.306,834.764,29.9986,36.4949,29.9998,36.3769,36.3233,33.1654,50.079,0,30,600,20.9353,97.5903,98.9904,-0.061,14.38,100,100
10,c4,1499740360,682,20170711 10:32:39,1499740359,0.003537297,19.52999862,481.9928075,48.15547435,77.24273331,0.122607376,2.261220894,0.119030241,0.074706599,247.843737,34.42798358,34.3586,5.450819159,49.3880456,2.601403538,5.267273702,2.849415621,-0.041486514,0.046572247,3.475301924,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.508475,19.52999862,#DIV/0!,#DIV/0!,0.016235556,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.508475,0.84300003,0.19600006,1499740359,773.13,799.854,26.0377,21.9025,499.883,99.8092,0.099914,33.7443,34.3586,999.9,10023.8,0,1152.15,1500.01,0.899999,0.100001,0,752.93,5.00027,11360.7,47.437,49.25,48.125,49.187,49.625,753.0284615,-0.961230773,-6.451282059,11359.97308,15,2,428.77,835.937,30.0012,36.4921,30.0005,36.3835,36.339,42.0572,48.0763,0,30,800,22.0406,97.5808,98.9891,-0.061,14.38,100,100
11,c4,1499740446,768.4000001,20170711 10:34:06,1499740446,0.003088392,22.80921949,575.3163174,57.47807554,96.80200305,0.104672901,2.251978362,0.102043227,0.06400778,247.8519984,34.67702238,34.5974,5.523656354,49.52839982,2.623205782,5.296366916,2.900450572,-0.041237029,0.046292177,3.458758336,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.550625,22.80921949,#DIV/0!,#DIV/0!,0.018828206,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.06,1264.550625,0.84300003,0.19600006,1499740446,968.922,999.886,26.2565,22.6475,499.967,99.8069,0.10001,33.8429,34.5974,999.9,9963.75,0,1171.86,1500.06,0.899999,0.100001,0,765.113,5.00027,11543.1,47.5,49.437,48.25,49.375,49.75,765.7917308,-6.872239307,-97.49743572,11552.93077,15,2,428.604,835.939,30.0002,36.5676,30.0005,36.4397,36.3916,50.46,46.6842,0,30,1000,22.7936,97.5672,98.9766,-0.061,14.38,100,100
12,c4,1499740532,854,20170711 10:35:31,1499740531,0.002900955,25.3266675,699.1478859,69.84710974,116.4381764,0.098155309,2.258249881,0.095845286,0.060106322,247.8486938,34.74208792,34.6435,5.537814484,49.78770182,2.63776412,5.298023455,2.900050364,-0.041406215,0.046482104,3.469981011,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.533765,25.3266675,#DIV/0!,#DIV/0!,0.020819268,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.04,1264.533765,0.84300003,0.19600006,1499740531,1165.51,1199.96,26.4032,23.0139,499.99,99.8032,0.0999981,33.8485,34.6435,999.9,10005,0,1135.94,1500.04,0.899999,0.100001,0,772.4,5.00027,11649.1,47.5,49.437,48.25,49.375,49.75,773.1418846,-8.399555558,-128.540171,11662.96923,15,2,428.357,835.851,30.0015,36.6176,30.0004,36.4826,36.431,58.4854,46.6592,0,30,1200,23.0346,97.5609,98.9674,-0.061,14.38,100,100
