File Name:,NGEEArctic_BNL_leaf_C_N_LMA_2012-2016,,,,,,,,,,,,
Contact:,"Alistair Rogers, arogers@bnl.gov, +1 631 344 2948",,,,,,,,,,,,
BNL349,20120722,ERAN6,484.1,30.5,161.38,78.12,4.92,15.87,B,1,E,,
BNL351,20120722,PEFR5,452,26.1,84.87,38.36,2.22,17.32,B,2,E,,
BNL352,20120722,PEFR5,465.8,27.8,115.69,53.89,3.22,16.76,B,3,C,,
BNL353,20120722,DUFI,448.4,16.8,139.22,62.43,2.34,26.69,B,3,T,,
BNL354,20120722,DUFI,451,14.7,139.22,62.79,2.05,30.68,B,2,T,,
BNL355,20120722,PEFR5,446.1,28.4,84.87,37.86,2.41,15.71,B,3,E,,
BNL356,20120722,ERAN6,440.4,27.2,161.38,71.07,4.39,16.19,B,2,E,,
BNL358,20120722,PEFR5,438.9,28.7,84.05,36.89,2.41,15.29,C,1,C,,
BNL359,20120722,PEFR5,461.4,20.8,73.56,33.94,1.53,22.18,B,4,T,,
BNL360,20120722,DUFI,474.9,25.6,173.02,82.17,4.43,18.55,B,3,C,,
BNL361,20120722,ERAN6,457.4,31.6,198.75,90.91,6.28,14.47,B,4,C,,
BNL362,20120722,PEFR5,453.9,25.7,83.95,38.11,2.16,17.66,C,1,E,,
BNL363,20120722,ERAN6,476,30.2,154.86,73.71,4.68,15.76,C,1,E,,
BNL364,20120722,DUFI,454.2,20.5,123.68,56.17,2.54,22.16,C,1,T,,
BNL365,20120722,DUFI,460.7,25.6,156.46,72.08,4.01,18,C,4,E,,
BNL366,20120722,PEFR5,444,26.2,73.54,32.65,1.93,16.95,C,4,T,,
BNL367,20120722,DUFI,460.8,19,123.68,56.99,2.35,24.25,C,3,T,,
BNL368,20120722,CAAQ,470.2,33.8,102.76,48.32,3.47,13.91,C,4,T,,
BNL369,20120722,PEFR5,445.4,29.8,84.05,37.43,2.5,14.95,C,4,C,,
BNL370,20120722,CAAQ,474.7,26.3,158.62,75.3,4.17,18.05,B,2,E,,
BNL371,20120722,CAAQ,463.6,30.3,149.71,69.41,4.54,15.3,B,2,C,,
BNL372,20120722,CAAQ,472,25.7,158.62,74.87,4.08,18.37,B,1,E,,
BNL373,20120722,CAAQ,463.8,31.9,153.01,70.97,4.88,14.54,C,1,E,,
BNL374,20120722,CAAQ,475.1,24.5,158.62,75.36,3.89,19.39,B,3,E,,
BNL375,20120722,CAAQ,478,30.6,121.3,57.98,3.71,15.62,B,3,T,,
BNL376,20120722,CAAQ,470.4,29.7,158.62,74.62,4.71,15.84,B,4,E,,
BNL377,20120722,CAAQ,476.6,34.4,121.3,57.81,4.17,13.85,B,4,T,,
BNL378,20120722,DUFI,467.9,26,123.68,57.87,3.22,18,C,4,T,,
BNL379,20120722,CAAQ,472.5,32.5,145.83,68.9,4.74,14.54,C,4,C,,
BNL380,20120722,CAAQ,468.4,29.2,153.01,71.67,4.47,16.04,C,4,E,,
BNL381,20120722,CAAQ,475.8,34.4,102.76,48.89,3.53,13.83,C,1,T,,
BNL382,20120722,CAAQ,471.6,34.9,121.3,57.2,4.23,13.51,B,2,T,,
BNL383,20120722,CAAQ,475,38.5,145.83,69.27,5.61,12.34,C,1,C,,
BNL384,20120722,CAAQ,471.6,38.9,102.76,48.46,4,12.12,C,3,T,,
BNL386,20120722,CAAQ,475.9,31.6,145.83,69.4,4.61,15.06,C,3,C,,
BNL489,20120807,CAAQ,470.2,30.3,106.78,50.21,3.24,15.52,,,,,
BNL490,20120807,CAAQ,474.2,30.9,83.49,39.59,2.58,15.35,,,,,
BNL491,20120807,CAAQ,468.2,30.4,89.08,41.71,2.71,15.4,,,,,
BNL492,20120807,CAAQ,474,33.6,-9999,-9999,-9999,14.11,,,,,
BNL493,20120807,CAAQ,480,36.2,73.33,35.2,2.65,13.26,,,,,
BNL494,20120807,CAAQ,474.2,25.9,84.92,40.27,2.2,18.31,,,,,
BNL495,20120807,CAAQ,465.3,28.9,-9999,-9999,-9999,16.1,,,,,
BNL496,20120807,CAAQ,470.4,30.4,-9999,-9999,-9999,15.47,,,,,
BNL497,20120807,CAAQ,467.6,36,-9999,-9999,-9999,12.99,,,,,
BNL498,20120807,CAAQ,472.7,26.8,79.53,37.6,2.13,17.64,,,,,
BNL499,20120807,CAAQ,474.5,31.8,-9999,-9999,-9999,14.92,,,,,
BNL500,20120807,CAAQ,473.3,30.2,-9999,-9999,-9999,15.67,,,,,
BNL501,20120807,CAAQ,465.8,34.2,-9999,-9999,-9999,13.62,,,,,
BNL502,20120807,CAAQ,469.9,36.7,-9999,-9999,-9999,12.8,,,,,
BNL503,20120807,CAAQ,477.1,33.5,78.4,37.4,2.63,14.24,,,,,
BNL505,20120807,PEFR5,440.8,31.6,171.78,75.72,5.43,13.95,,,,,
BNL506,20120807,PEFR5,434.2,25,141.94,61.63,3.55,17.37,,,,,
BNL507,20120807,PEFR5,418.8,23.3,144.27,60.42,3.36,17.97,,,,,
BNL508,20120807,PEFR5,441.9,23.2,173.6,76.72,4.03,19.05,,,,,
BNL509,20120807,PEFR5,435.7,30,-9999,-9999,-9999,14.52,,,,,
BNL510,20120807,PEFR5,433.6,31,163.85,71.04,5.08,13.99,,,,,
BNL511,20120807,PEFR5,445.2,26,-9999,-9999,-9999,17.12,,,,,
BNL512,20120807,PEFR5,432.6,32.6,-9999,-9999,-9999,13.27,,,,,
BNL513,20120807,PEFR5,431.8,19.5,146.84,63.41,2.86,22.14,,,,,
BNL514,20120807,PEFR5,426.7,27.2,-9999,-9999,-9999,15.69,,,,,
BNL515,20120807,PEFR5,440.6,24.4,120.23,52.98,2.93,18.06,,,,,
BNL516,20120807,PEFR5,427.3,25.4,128.08,54.73,3.25,16.82,,,,,
BNL517,20120807,PEFR5,431.9,24.9,-9999,-9999,-9999,17.35,,,,,
BNL518,20120807,PEFR5,438.5,24.4,154.93,67.94,3.78,17.97,,,,,
BNL519,20120807,ERAN6,471.1,28.5,-9999,-9999,-9999,16.53,,,,,
BNL520,20120807,ERAN6,463.9,27.4,108.82,50.48,2.98,16.93,,,,,
BNL521,20120807,ERAN6,467.4,26.8,-9999,-9999,-9999,17.44,,,,,
BNL522,20120807,ERAN6,468.2,27.5,88.48,41.43,2.43,17.03,,,,,
BNL523,20120807,ERAN6,467.7,26.4,-9999,-9999,-9999,17.72,,,,,
BNL524,20120807,ERAN6,460.8,25.8,83.61,38.53,2.16,17.86,,,,,
BNL525,20120807,ERAN6,464.3,28.5,99.57,46.23,2.84,16.29,,,,,
BNL526,20120807,ERAN6,469.5,30,-9999,-9999,-9999,15.65,,,,,
BNL527,20120807,ERAN6,474.7,22.9,-9999,-9999,-9999,20.73,,,,,
BNL528,20120807,ERAN6,469.4,21,-9999,-9999,-9999,22.35,,,,,
BNL529,20120807,ERAN6,475.3,29.6,-9999,-9999,-9999,16.06,,,,,
BNL531,20120807,ERAN6,470,28.1,-9999,-9999,-9999,16.73,,,,,
BNL532,20120807,ERAN6,463.8,24.1,-9999,-9999,-9999,19.24,,,,,
BNL533,20120807,ERAN6,472.7,29.6,-9999,-9999,-9999,15.97,,,,,
BNL534,20120807,DUFI,373.2,11.2,-9999,-9999,-9999,33.32,,,,,
BNL535,20120807,DUFI,466.1,11.5,-9999,-9999,-9999,40.53,,,,,
BNL536,20120807,DUFI,455.6,12,250,113.9,3,37.97,,,,,
BNL537,20120807,DUFI,458.9,16,-9999,-9999,-9999,28.68,,,,,
BNL538,20120807,DUFI,456,11,-9999,-9999,-9999,41.45,,,,,
BNL539,20120807,DUFI,463.9,10.1,-9999,-9999,-9999,45.93,,,,,
BNL540,20120807,DUFI,457.6,10.1,-9999,-9999,-9999,45.31,,,,,
BNL541,20120807,DUFI,462.5,12.8,-9999,-9999,-9999,36.13,,,,,
BNL542,20120807,DUFI,458.7,7.4,-9999,-9999,-9999,61.99,,,,,
BNL543,20120807,DUFI,456.9,11.5,-9999,-9999,-9999,39.73,,,,,
BNL544,20120807,DUFI,461.7,14.2,-9999,-9999,-9999,32.51,,,,,
BNL545,20120807,DUFI,458.8,16.6,-9999,-9999,-9999,27.64,,,,,
BNL546,20120807,DUFI,459.8,11,-9999,-9999,-9999,41.8,,,,,
BNL547,20120807,DUFI,454.3,13.3,224.91,102.18,2.99,34.16,,,,,
BNL548,20120807,DUFI,464.4,23.7,-9999,-9999,-9999,19.59,,,,,
BNL549,20120807,SAPU15,498.6,29.3,140.12,69.86,4.11,17.02,,,,,
BNL550,20120807,SAPU15,495,28.6,107.51,53.22,3.07,17.31,,,,,
BNL551,20120807,SAPU15,492.8,29.8,105.09,51.79,3.13,16.54,,,,,
BNL552,20120807,SAPU15,502,28.7,134.78,67.66,3.87,17.49,,,,,
BNL553,20120807,SAPU15,493.4,30.6,102.29,50.47,3.13,16.12,,,,,
BNL554,20120807,SAPU15,494.7,29.8,122.49,60.6,3.65,16.6,,,,,
BNL555,20120807,SAPU15,501,30.8,108.92,54.57,3.35,16.27,,,,,
BNL556,20120807,SAPU15,483.2,35.1,76.31,36.87,2.68,13.77,,,,,
BNL557,20120807,SAPU15,496.3,29.2,134.91,66.96,3.94,17,,,,,
BNL558,20120807,SAPU15,490.6,30.8,93.56,45.9,2.88,15.93,,,,,
BNL559,20120807,SAPU15,492.5,30.1,100.71,49.6,3.03,16.36,,,,,
BNL560,20120807,SAPU15,489.7,31.6,89.82,43.99,2.84,15.5,,,,,
BNL561,20120807,SAPU15,488.8,32.9,101.7,49.71,3.35,14.86,,,,,
BNL562,20120808,SAPU15,499.2,33.8,90.18,45.02,3.05,14.77,,,,,
BNL563,20120808,PEFR5,437.5,28.2,94.17,41.2,2.66,15.51,,,,,
BNL564,20120808,SAPU15,496.6,33.8,96.64,47.99,3.27,14.69,,,,,
BNL565,20120808,PEFR5,433.5,34.1,63.83,27.67,2.18,12.71,,,,,
BNL566,20120808,SAPU15,495.6,30.2,91.28,45.24,2.76,16.41,,,,,
BNL567,20120808,PEFR5,438.7,19.5,87,38.17,1.7,22.5,,,,,
BNL568,20120808,SAPU15,498.1,32.7,109.13,54.36,3.57,15.23,,,,,
BNL569,20120808,PEFR5,421.9,29.1,69.5,29.32,2.02,14.5,,,,,
BNL570,20120808,SAPU15,500.3,29.7,80.3,40.18,2.39,16.85,,,,,
BNL571,20120808,PEFR5,432.3,34.9,69.17,29.9,2.41,12.39,,,,,
BNL572,20120808,SAPU15,500.1,27.6,99.92,49.97,2.76,18.12,,,,,
BNL573,20120808,PEFR5,429.1,23.8,92.5,39.69,2.2,18.03,,,,,
BNL574,20120808,SAPU15,495.6,31.3,90.85,45.03,2.84,15.83,,,,,
BNL575,20120808,SAPU15,502,30.5,91.49,45.93,2.79,16.46,,,,,
BNL576,20120808,SAPU15,504.5,28.9,95.79,48.33,2.77,17.46,,,,,
BNL577,20120808,SAPU15,500.2,30.9,98.11,49.08,3.03,16.19,,,,,
BNL578,20120808,SAPU15,499.4,28.5,92.26,46.07,2.63,17.52,,,,,
BNL579,20120808,SAPU15,503.9,30.1,97.08,48.92,2.92,16.74,,,,,
BNL580,20120808,SAPU15,503.6,30.5,124.76,62.83,3.81,16.51,,,,,
BNL581,20120808,SAPU15,488.2,31.8,74.56,36.4,2.37,15.35,,,,,
BNL582,20120808,SAPU15,491.2,29.6,71.27,35.01,2.11,16.59,,,,,
BNL583,20120808,SAPU15,489.8,30,74.09,36.29,2.22,16.33,,,,,
BNL584,20120808,SAPU15,493.3,31,70.18,34.62,2.18,15.91,,,,,
BNL585,20120809,SAPU15,504.5,29.9,95.58,48.22,2.86,16.87,,,,,
BNL586,20120809,PEFR5,433.2,34.5,65.67,28.45,2.27,12.56,,,,,
BNL587,20120809,SAPU15,495.2,25.8,101.55,50.29,2.62,19.19,,,,,
BNL588,20120809,PEFR5,435,31.2,75.5,32.84,2.36,13.94,,,,,
BNL589,20120809,SAPU15,486.6,29.6,72.48,35.27,2.15,16.44,,,,,
BNL590,20120809,PEFR5,438.6,28.8,65.17,28.58,1.88,15.23,,,,,
BNL591,20120809,SAPU15,497.2,32.4,82.2,40.87,2.66,15.35,,,,,
BNL592,20120809,ERAN6,478.2,27.6,74.2,35.48,2.05,17.33,,,,,
BNL593,20120809,SAPU15,497.6,34.1,73.45,36.55,2.5,14.59,,,,,
BNL594,20120809,SAPU15,495.3,34.1,75.13,37.21,2.56,14.52,,,,,
BNL595,20120809,SAPU15,497.1,33,78.2,38.87,2.58,15.06,,,,,
BNL596,20120809,SAPU15,493,31.8,74.73,36.84,2.38,15.5,,,,,
BNL597,20120809,SAPU15,494.7,34.4,78.21,38.69,2.69,14.38,,,,,
BNL598,20120811,SAPU15,490.7,24.7,75.29,36.95,1.86,19.87,,,,,
BNL599,20120811,ERAN6,473,31,82.05,38.81,2.54,15.26,,,,,
BNL600,20120811,SAPU15,492.1,25.2,76.89,37.84,1.94,19.53,,,,,
BNL601,20120811,ERAN6,476.4,28.6,78.57,37.43,2.25,16.66,,,,,
BNL602,20120811,SAPU15,490.4,29.1,85.6,41.98,2.49,16.85,,,,,
BNL603,20120811,ERAN6,474.1,29.8,74.07,35.12,2.21,15.91,,,,,
BNL604,20120811,SAPU15,488.9,31.5,76.43,37.36,2.41,15.52,,,,,
BNL605,20120811,ERAN6,460.5,28.2,76.11,35.05,2.15,16.33,,,,,
BNL606,20120811,SAPU15,485.6,30.2,78.22,37.98,2.36,16.08,,,,,
BNL607,20120811,ERAN6,471.3,29,78.33,36.92,2.27,16.25,,,,,
BNL608,20120811,SAPU15,484.7,30.7,90.77,43.99,2.79,15.79,,,,,
BNL610,20120811,SAPU15,469.8,30.5,83.52,39.24,2.55,15.4,,,,,
BNL611,20120811,SAPU15,488,27.7,85.3,41.63,2.36,17.62,,,,,
BNL612,20120811,SAPU15,484.5,30.4,81.67,39.57,2.48,15.94,,,,,
BNL613,20120811,SAPU15,489.4,25.3,86.51,42.34,2.19,19.34,,,,,
BNL614,20120811,SAPU15,494.3,26.6,83.87,41.46,2.23,18.58,,,,,
BNL615,20120811,SAPU15,485.7,26,94.02,45.67,2.44,18.68,,,,,
BNL616,20120811,SAPU15,492.7,28.5,88.43,43.57,2.52,17.29,,,,,
BNL617,20120811,SAPU15,495.7,25.4,96.49,47.83,2.45,19.52,,,,,
BNL618,20120811,SAPU15,485,26.3,103.8,50.34,2.73,18.44,,,,,
BNL619,20120811,SAPU15,505.4,30.1,95.79,48.41,2.88,16.79,,,,,
BNL620,20120811,SAPU15,499.3,27,106.97,53.41,2.89,18.49,,,,,
BNL621,20120812,PEFR5,442.3,29,93,41.13,2.7,15.25,,,,,
BNL622,20120812,SAPU15,485.6,27.1,84.89,41.22,2.3,17.92,,,,,
BNL623,20120812,SAPU15,478.4,27.2,46.29,22.15,1.26,17.59,,,,,
BNL624,20120812,SAPU15,493.5,25.9,87.3,43.08,2.26,19.05,,,,,
BNL625,20120812,SAPU15,480.5,24.6,79.95,38.41,1.97,19.53,,,,,
BNL626,20120812,SAPU15,492.3,23.5,93.2,45.88,2.19,20.95,,,,,
BNL627,20120812,SAPU15,492.8,27,84.11,41.45,2.27,18.25,,,,,
BNL628,20120812,SAPU15,491.7,30.2,89.61,44.06,2.71,16.28,,,,,
BNL629,20120812,SAPU15,499.9,28.3,107.6,53.79,3.05,17.66,,,,,
BNL630,20120812,SAPU15,497,27.3,103.18,51.28,2.82,18.21,,,,,
BNL631,20120812,SAPU15,499.4,28.7,113.23,56.55,3.25,17.4,,,,,
BNL632,20120812,PEFR5,435.2,27.1,91.88,39.98,2.49,16.06,,,,,
BNL633,20120812,PEFR5,436.5,27.8,70.16,30.63,1.95,15.7,,,,,
BNL634,20120812,PEFR5,430,25.6,79.58,34.22,2.04,16.8,,,,,
BNL635,20120812,PEFR5,438.5,27.8,86.99,38.15,2.42,15.77,,,,,
BNL636,20120812,PEFR5,438.3,26.3,99.33,43.54,2.61,16.67,,,,,
BNL637,20120812,PEFR5,441.1,26.8,113.53,50.08,3.04,16.46,,,,,
BNL638,20120812,PEFR5,441.9,34.2,81.05,35.81,2.77,12.92,,,,,
BNL639,20120812,PEFR5,438.4,26.4,119.56,52.41,3.16,16.61,,,,,
BNL640,20120812,PEFR5,441.1,22.3,111.58,49.22,2.49,19.78,,,,,
BNL642,20120812,PEFR5,446.3,28.4,90.33,40.32,2.57,15.71,,,,,
BNL643,20120812,DUFI,450.7,11.1,93.33,42.07,1.04,40.6,,,,,
BNL644,20120812,DUFI,455.7,8.6,90,41.01,0.77,52.99,,,,,
BNL645,20120812,DUFI,454.6,14.7,73.04,33.21,1.07,30.93,,,,,
BNL646,20120812,DUFI,446.9,9.2,92.67,41.41,0.85,48.58,,,,,
BNL647,20120812,DUFI,453.9,11.4,68.99,31.31,0.79,39.82,,,,,
BNL648,20120812,DUFI,454.9,14.3,87.02,39.58,1.24,31.81,,,,,
BNL651,20120813,CAAQ,472,27.7,70.18,33.12,1.94,17.04,,,,,
BNL652,20120813,CAAQ,463.4,31.9,68.22,31.61,2.18,14.53,,,,,
BNL653,20120813,CAAQ,467.1,30.6,73.33,34.25,2.24,15.26,,,,,
BNL654,20120813,CAAQ,455.3,29,60.74,27.66,1.76,15.7,,,,,
BNL655,20120813,CAAQ,453.5,23.4,71.85,32.58,1.68,19.38,,,,,
BNL656,20120813,CAAQ,456.3,26.4,65.89,30.07,1.74,17.28,,,,,
BNL657,20120813,CAAQ,455,25.6,65.19,29.66,1.67,17.77,,,,,
BNL658,20120813,CAAQ,450.6,12.3,68.07,30.67,0.84,36.63,,,,,
BNL659,20120813,CAAQ,482.1,29.1,71.74,34.59,2.09,16.57,,,,,
BNL660,20120813,VAVI,504.8,8.5,180.85,91.29,1.54,59.39,,,,,
BNL661,20120813,VAVI,497,7,188.86,93.86,1.32,71,,,,,
BNL662,20120813,VAVI,508.3,7,189.46,96.3,1.33,72.61,,,,,
BNL663,20120813,VAVI,505.6,8.5,194.57,98.37,1.65,59.48,,,,,
BNL664,20120813,VAVI,490.9,9,174.55,85.69,1.57,54.54,,,,,
BNL665,20120813,VAVI,505.9,6.9,196.45,99.38,1.36,73.32,,,,,
BNL666,20120813,VAVI,506,7.2,163.75,82.86,1.18,70.28,,,,,
BNL667,20120813,VAVI,503.3,8.4,196.23,98.76,1.65,59.92,,,,,
BNL668,20120813,VAVI,504.5,8.3,188,94.84,1.56,60.78,,,,,
BNL669,20120813,VAVI,500.7,9.1,168.18,84.21,1.53,55.02,,,,,
BNL670,20120813,VAVI,507.6,7.7,181.54,92.15,1.4,65.92,,,,,
BNL671,20120813,VAVI,501.3,9.3,143.21,71.79,1.33,53.9,,,,,
BNL672,20120813,VAVI,492,7.7,191.96,94.44,1.48,63.9,,,,,
BNL673,20120813,VAVI,497.8,9.2,198.66,98.89,1.83,54.11,,,,,
BNL674,20120813,VAVI,504,7,208.97,105.32,1.46,72,,,,,
BNL675,20120813,VAVI,502.8,10.9,173.94,87.46,1.9,46.13,,,,,
BNL676,20120813,VAVI,502.3,11.8,153.61,77.16,1.81,42.57,,,,,
BNL677,20120813,VAVI,460.8,9.7,172.01,79.26,1.67,47.51,,,,,
BNL678,20120813,VAVI,486,7,-9999,-9999,-9999,69.43,,,,,
BNL451,20120821,ERAN6,473.3,28.9,68.31,32.33,1.97,16.38,,,,,
BNL452,20120821,ERAN6,489.1,27.4,68.31,33.41,1.87,17.85,,,,,
BNL453,20120821,ERAN6,473.1,30.8,68.31,32.32,2.1,15.36,,,,,
BNL454,20120821,ERAN6,465.9,33.1,68.31,31.82,2.26,14.08,,,,,
BNL455,20120821,ERAN6,475.9,33.2,68.31,32.51,2.27,14.33,,,,,
BNL456,20120821,ERAN6,474.4,30.1,68.31,32.41,2.06,15.76,,,,,
BNL457,20120821,ERAN6,484.9,28,68.31,33.12,1.91,17.32,,,,,
BNL458,20120821,ERAN6,476.9,28.5,68.31,32.58,1.95,16.73,,,,,
BNL459,20120821,PEFR5,449.6,31.2,82.45,37.07,2.57,14.41,,,,,
BNL460,20120821,PEFR5,445.9,25.2,82.45,36.76,2.08,17.69,,,,,
BNL461,20120821,PEFR5,458.8,33.9,82.45,37.83,2.8,13.53,,,,,
BNL462,20120821,PEFR5,442.4,30,82.45,36.48,2.47,14.75,,,,,
BNL463,20120821,PEFR5,459.8,39.8,82.45,37.91,3.28,11.55,,,,,
BNL464,20120821,PEFR5,455.5,34.2,82.45,37.56,2.82,13.32,,,,,
BNL465,20120821,PEFR5,442.5,27.2,82.45,36.48,2.24,16.27,,,,,
BNL466,20120821,PEFR5,449.6,31,82.45,37.07,2.56,14.5,,,,,
BNL467,20120821,PEFR5,444.1,24.7,82.45,36.62,2.04,17.98,,,,,
BNL468,20120821,PEFR5,442.9,25.6,82.45,36.52,2.11,17.3,,,,,
BNL469,20120821,CAAQ,471.5,36,66.87,31.53,2.41,13.1,,,,,
BNL470,20120821,CAAQ,472.8,39.4,66.87,31.61,2.63,12,,,,,
BNL471,20120821,CAAQ,477.3,40.2,66.87,31.92,2.69,11.87,,,,,
BNL472,20120821,CAAQ,477,36.5,66.87,31.9,2.44,13.07,,,,,
BNL473,20120821,CAAQ,476.7,36.8,66.87,31.88,2.46,12.95,,,,,
BNL474,20120821,CAAQ,482.2,38.7,66.87,32.24,2.59,12.46,,,,,
BNL475,20120821,CAAQ,475.5,43.6,66.87,31.8,2.92,10.91,,,,,
BNL476,20120821,CAAQ,476.3,39.3,66.87,31.85,2.63,12.12,,,,,
BNL477,20120821,CAAQ,481,41.4,66.87,32.16,2.77,11.62,,,,,
BNL478,20120821,CAAQ,434.8,36.5,66.87,29.07,2.44,11.91,,,,,
BNL479,20120821,DUFI,465.7,22,78.55,36.58,1.73,21.17,,,,,
BNL480,20120821,DUFI,463.3,23.5,78.55,36.39,1.85,19.71,,,,,
BNL481,20120821,DUFI,464.4,21.4,78.55,36.48,1.68,21.7,,,,,
BNL482,20120821,DUFI,464,26.1,78.55,36.45,2.05,17.78,,,,,
BNL483,20120821,DUFI,467.8,22.6,78.55,36.75,1.78,20.7,,,,,
BNL484,20120821,DUFI,465.4,21.6,78.55,36.56,1.7,21.55,,,,,
BNL485,20120821,DUFI,464.8,22.1,78.55,36.51,1.74,21.03,,,,,
BNL486,20120821,DUFI,466.9,22.6,78.55,36.67,1.78,20.66,,,,,
BNL488,20120821,DUFI,466.3,28.1,78.55,36.63,2.21,16.59,,,,,
BNL300,20120910,CAAQ,479.4,33.3,66.87,32.06,2.23,14.4,,,,,
BNL301,20120910,CAAQ,480.2,32.4,66.87,32.11,2.17,14.82,,,,,
BNL302,20120910,CAAQ,474.5,33.6,66.87,31.73,2.25,14.12,,,,,
BNL303,20120910,CAAQ,479.1,36,66.87,32.04,2.41,13.31,,,,,
BNL305,20120910,CAAQ,480.7,39.2,66.87,32.14,2.62,12.26,,,,,
BNL306,20120910,CAAQ,482.3,34.3,66.87,32.25,2.29,14.06,,,,,
BNL307,20120910,CAAQ,470.6,35.7,66.87,31.47,2.39,13.18,,,,,
BNL308,20120910,CAAQ,483.3,34.5,66.87,32.32,2.31,14.01,,,,,
BNL309,20120910,PEFR5,445.2,28.6,82.45,36.71,2.36,15.57,,,,,
BNL310,20120910,PEFR5,446.4,30.2,82.45,36.81,2.49,14.78,,,,,
BNL311,20120910,PEFR5,450.2,29.7,82.45,37.12,2.45,15.16,,,,,
BNL312,20120910,DUFI,464.3,22.2,78.55,36.47,1.74,20.91,,,,,
BNL313,20120910,DUFI,462,17.5,78.55,36.29,1.37,26.4,,,,,
BNL314,20120910,DUFI,461.2,14.8,78.55,36.23,1.16,31.16,,,,,
BNL315,20120910,PEFR5,443.8,30.8,82.45,36.59,2.54,14.41,,,,,
BNL316,20120910,DUFI,466,18,78.55,36.6,1.41,25.89,,,,,
BNL317,20120910,PEFR5,446.8,34.1,82.45,36.84,2.81,13.1,,,,,
BNL318,20120910,PEFR5,443.5,33.8,82.45,36.57,2.79,13.12,,,,,
BNL319,20120910,CAAQ,482.3,33.4,66.87,32.25,2.23,14.44,,,,,
BNL320,20120910,DUFI,462.9,16.2,78.55,36.36,1.27,28.57,,,,,
BNL321,20120910,DUFI,464.2,16.9,78.55,36.46,1.33,27.47,,,,,
BNL323,20120910,PEFR5,452,29.9,82.45,37.27,2.47,15.12,,,,,
BNL324,20120910,PEFR5,459.6,35.3,82.45,37.89,2.91,13.02,,,,,
BNL325,20120910,PEFR5,445,32.7,82.45,36.69,2.7,13.61,,,,,
BNL326,20120910,ERAN6,477,31.1,68.31,32.58,2.12,15.34,,,,,
BNL327,20120910,DUFI,463.2,19.9,78.55,36.38,1.56,23.28,,,,,
BNL337,20120910,CAAQ,479.8,33.5,66.87,32.08,2.24,14.32,,,,,
BNL338,20120910,DUFI,465.7,17.8,78.55,36.58,1.4,26.16,,,,,
BNL339,20120910,DUFI,462.4,16.3,78.55,36.32,1.28,28.37,,,,,
BNL343,20120910,PEFR5,450.9,30,82.45,37.18,2.47,15.03,,,,,
BNL387,20120910,SAPU15,507.6,31.1,88.75,45.05,2.76,16.32,,,,,
BNL388,20120910,SAPU15,511.8,33.4,88.75,45.42,2.96,15.32,,,,,
BNL389,20120910,SAPU15,507.5,31.4,88.75,45.04,2.79,16.16,,,,,
BNL390,20120910,SAPU15,506.5,35.4,88.75,44.95,3.14,14.31,,,,,
BNL391,20120910,SAPU15,507.5,34.2,88.75,45.04,3.04,14.84,,,,,
BNL437,20120910,ERAN6,476,24,68.31,32.51,1.64,19.83,,,,,
BNL438,20120910,ERAN6,476.8,32.2,68.31,32.57,2.2,14.81,,,,,
BNL439,20120910,ERAN6,475.9,24.9,68.31,32.51,1.7,19.11,,,,,
BNL440,20120910,SAPU15,502.1,33.4,88.75,44.56,2.96,15.03,,,,,
BNL441,20120910,ERAN6,472,23.6,68.31,32.24,1.61,20,,,,,
BNL442,20120910,ERAN6,478.4,30.8,68.31,32.68,2.1,15.53,,,,,
BNL443,20120910,SAPU15,504,36.4,88.75,44.73,3.23,13.85,,,,,
BNL444,20120910,SAPU15,493.2,33.4,88.75,43.77,2.96,14.77,,,,,
BNL445,20120910,SAPU15,496.9,30,88.75,44.1,2.66,16.56,,,,,
BNL446,20120910,SAPU15,496.3,29.7,88.75,44.04,2.64,16.71,,,,,
BNL447,20120910,ERAN6,476.6,29,68.31,32.56,1.98,16.43,,,,,
BNL448,20120910,ERAN6,476.7,29.8,68.31,32.56,2.04,16,,,,,
BNL449,20120910,ERAN6,475.7,25.7,68.31,32.49,1.76,18.51,,,,,
BNL392,20120911,VAVI,513,14.4,182.99,93.87,2.64,35.63,,,,,
BNL393,20120911,VAVI,509.9,11.2,182.99,93.31,2.05,45.53,,,,,
BNL394,20120911,VAVI,504.9,11.1,182.99,92.39,2.03,45.49,,,,,
BNL395,20120911,VAVI,509.1,11.5,182.99,93.16,2.1,44.27,,,,,
BNL434,20120911,VAVI,505.3,9.6,182.99,92.47,1.76,52.64,,,,,
BNL435,20120911,VAVI,506.2,11.1,182.99,92.63,2.03,45.6,,,,,
BNL436,20120911,VAVI,502.1,9,182.99,91.88,1.65,55.79,,,,,
BNL1001,20130710,PEFR5,453.8,31.5,79.77,36.2,2.51,14.41,,,,,
BNL58,20130712,CAAQ,463,29.1,62.28,28.84,1.81,15.91,,,,,
BNL1182,20130721,ARLA2,456.3,27.4,53.61,24.46,1.47,16.65,,,,,
BNL1184,20130721,ARLA2,445.9,24.8,48.59,21.67,1.21,17.98,,,,,
BNL1186,20130721,ARLA2,450.9,21.2,50.18,22.62,1.06,21.27,,,,,
BNL1188,20130721,ARLA2,457.2,29,47.37,21.66,1.37,15.77,,,,,
BNL1190,20130721,ARLA2,459.6,31.7,52.42,24.09,1.66,14.5,,,,,
BNL1192,20130721,ARLA2,452.1,26.1,51.43,23.25,1.34,17.32,,,,,
